poll_id,register_tse,institute,poll_date,field_midpoint,days_to_first_round,scenario,candidate,poll_pct,polymarket_pct,polymarket_date,naive_gap_pp,gap_type
BR-03627/2026,BR036272026,Real Time Big Data,2026-05-05,2026-05-03,154,Cenário Principal (1º turno),Lula,40,37.5,2026-05-03,-2.5,naive_winprob_minus_voteshare
BR-03627/2026,BR036272026,Real Time Big Data,2026-05-05,2026-05-03,154,Cenário Principal (1º turno),Flávio,34,43.95,2026-05-03,9.95,naive_winprob_minus_voteshare
BR-03627/2026,BR036272026,Real Time Big Data,2026-05-05,2026-05-03,154,Cenário Principal (1º turno),Caiado,5,1.35,2026-05-03,-3.65,naive_winprob_minus_voteshare
BR-03627/2026,BR036272026,Real Time Big Data,2026-05-05,2026-05-03,154,Cenário Principal (1º turno),Zema,4,3.75,2026-05-03,-0.25,naive_winprob_minus_voteshare
BR-03627/2026,BR036272026,Real Time Big Data,2026-05-05,2026-05-03,154,Cenário Principal (1º turno),Renan,3,5.65,2026-05-03,2.65,naive_winprob_minus_voteshare
Paraná Pesquisas-2026-05-07,BR043152026,Paraná Pesquisas,2026-05-07,2026-05-09,148,Cenário SP (1º turno),Flávio,39.3,43.65,2026-05-09,4.35,naive_winprob_minus_voteshare
Paraná Pesquisas-2026-05-07,BR043152026,Paraná Pesquisas,2026-05-07,2026-05-09,148,Cenário SP (1º turno),Lula,36,37.5,2026-05-09,1.5,naive_winprob_minus_voteshare
Paraná Pesquisas-2026-05-08,BR043152026,Paraná Pesquisas,2026-05-08,2026-05-09,148,Cenário MT (1º turno),Flávio,44.6,43.65,2026-05-09,-0.95,naive_winprob_minus_voteshare
Paraná Pesquisas-2026-05-08,BR043152026,Paraná Pesquisas,2026-05-08,2026-05-09,148,Cenário MT (1º turno),Lula,29.8,37.5,2026-05-09,7.7,naive_winprob_minus_voteshare
Quaest/Genial-2026-05-13,BR035982026,Quaest/Genial,2026-05-13,2026-05-09,148,Cenário Principal (1º turno),Lula,39,37.5,2026-05-09,-1.5,naive_winprob_minus_voteshare
Quaest/Genial-2026-05-13,BR035982026,Quaest/Genial,2026-05-13,2026-05-09,148,Cenário Principal (1º turno),Flávio,33,43.65,2026-05-09,10.65,naive_winprob_minus_voteshare
Quaest/Genial-2026-05-13,BR035982026,Quaest/Genial,2026-05-13,2026-05-09,148,Cenário Principal (1º turno),Caiado,4,1.45,2026-05-09,-2.55,naive_winprob_minus_voteshare
Quaest/Genial-2026-05-13,BR035982026,Quaest/Genial,2026-05-13,2026-05-09,148,Cenário Principal (1º turno),Zema,4,4.35,2026-05-09,0.35,naive_winprob_minus_voteshare
BR-00290/2026,BR002902026,Datafolha,2026-05-15,2026-05-13,144,Cenário Principal (1º turno),Lula,39,45.5,2026-05-13,6.5,naive_winprob_minus_voteshare
BR-00290/2026,BR002902026,Datafolha,2026-05-15,2026-05-13,144,Cenário Principal (1º turno),Flávio,35,28.45,2026-05-13,-6.55,naive_winprob_minus_voteshare
AtlasIntel-2026-05-19,BR032432026,AtlasIntel,2026-05-19,2026-05-15,142,Cenário Principal (1º turno),Lula,47,42.5,2026-05-15,-4.5,naive_winprob_minus_voteshare
AtlasIntel-2026-05-19,BR032432026,AtlasIntel,2026-05-19,2026-05-15,142,Cenário Principal (1º turno),Flávio,34.3,33.35,2026-05-15,-0.95,naive_winprob_minus_voteshare
Vox Brasil-2026-05-20,BR024162026,Vox Brasil,2026-05-20,2026-05-18,139,Cenário Principal (2º turno),Lula,46.8,44.5,2026-05-17,-2.3,naive_winprob_minus_voteshare
Vox Brasil-2026-05-20,BR024162026,Vox Brasil,2026-05-20,2026-05-18,139,Cenário Principal (2º turno),Flávio,38.1,31.3,2026-05-17,-6.8,naive_winprob_minus_voteshare
Datafolha-2026-05-22,BR074892026,Datafolha,2026-05-22,2026-05-21,136,Cenário Principal (1º turno),Lula,40,45.5,2026-05-21,5.5,naive_winprob_minus_voteshare
Datafolha-2026-05-22,BR074892026,Datafolha,2026-05-22,2026-05-21,136,Cenário Principal (1º turno),Flávio,31,24.75,2026-05-21,-6.25,naive_winprob_minus_voteshare
Indexa Pesquisas-2026-05-27,BR021542026,Indexa Pesquisas,2026-05-27,2026-05-23,134,Cenário Principal (1º turno),Lula,39,45.5,2026-05-23,6.5,naive_winprob_minus_voteshare
Indexa Pesquisas-2026-05-27,BR021542026,Indexa Pesquisas,2026-05-27,2026-05-23,134,Cenário Principal (1º turno),Flávio,30,27.75,2026-05-23,-2.25,naive_winprob_minus_voteshare
BR-02918/2026,BR029182026,Meio/Ideia,2026-05-28,2026-05-25,132,Cenário Principal (1º turno),Lula,38.5,39.5,2026-05-25,1,naive_winprob_minus_voteshare
