poll_id,register_tse,institute,poll_date,field_midpoint,dimension,category,pct,quota_detail_level
Encomendada pela Record,BR093532026,Real Time Big Data/Record,2026-03-03,2026-03-01,sex,male,47.2,full_percentages
Encomendada pela Record,BR093532026,Real Time Big Data/Record,2026-03-03,2026-03-01,sex,female,52.8,full_percentages
Encomendada pela Record,BR093532026,Real Time Big Data/Record,2026-03-03,2026-03-01,age,16 anos,0.15,full_percentages
Encomendada pela Record,BR093532026,Real Time Big Data/Record,2026-03-03,2026-03-01,education,Analfabeto,3.6,full_percentages
Folha de S.Paulo,BR037152026,Datafolha,2026-03-07,2026-03-04,sex,"(declared, no % in registry)",,mentioned_no_pct
Folha de S.Paulo,BR037152026,Datafolha,2026-03-07,2026-03-04,age,"(declared, no % in registry)",,mentioned_no_pct
Folha de S.Paulo,BR037152026,Datafolha,2026-03-07,2026-03-04,education,"(declared, no % in registry)",,mentioned_no_pct
Folha de S.Paulo,BR037152026,Datafolha,2026-03-07,2026-03-04,income,"(declared, no % in registry)",,mentioned_no_pct
Folha de S.Paulo,BR037152026,Datafolha,2026-03-07,2026-03-04,region,"(declared, no % in registry)",,mentioned_no_pct
Genial Investimentos,BR029442026,Quaest/Genial Investimentos,2026-03-11,2026-03-08,sex,"(declared, no % in registry)",,mentioned_no_pct
Genial Investimentos,BR029442026,Quaest/Genial Investimentos,2026-03-11,2026-03-08,age,"(declared, no % in registry)",,mentioned_no_pct
Genial Investimentos,BR029442026,Quaest/Genial Investimentos,2026-03-11,2026-03-08,education,"(declared, no % in registry)",,mentioned_no_pct
Genial Investimentos,BR029442026,Quaest/Genial Investimentos,2026-03-11,2026-03-08,income,"(declared, no % in registry)",,mentioned_no_pct
Genial Investimentos,BR029442026,Quaest/Genial Investimentos,2026-03-11,2026-03-08,region,"(declared, no % in registry)",,mentioned_no_pct
BR-04227/2026,BR042272026,AtlasIntel/Bloomberg,2026-03-25,2026-03-20,sex,male,47.2,full_percentages
BR-04227/2026,BR042272026,AtlasIntel/Bloomberg,2026-03-25,2026-03-20,sex,female,52.8,full_percentages
BR-04227/2026,BR042272026,AtlasIntel/Bloomberg,2026-03-25,2026-03-20,age,Entre 16 a 24 anos,11.9,full_percentages
BR-04227/2026,BR042272026,AtlasIntel/Bloomberg,2026-03-25,2026-03-20,age,Entre 25 a 34 anos,19.3,full_percentages
BR-04227/2026,BR042272026,AtlasIntel/Bloomberg,2026-03-25,2026-03-20,age,Entre 35 a 44 anos,20.1,full_percentages
BR-04227/2026,BR042272026,AtlasIntel/Bloomberg,2026-03-25,2026-03-20,age,Entre 45 a 59 anos,25.5,full_percentages
BR-04227/2026,BR042272026,AtlasIntel/Bloomberg,2026-03-25,2026-03-20,age,60 ou mais,23.2,full_percentages
BR-04227/2026,BR042272026,AtlasIntel/Bloomberg,2026-03-25,2026-03-20,education,Ensino Fundamental completo ou incompleto e eleitores sem educação formal,33.8,full_percentages
BR-04227/2026,BR042272026,AtlasIntel/Bloomberg,2026-03-25,2026-03-20,education,Ensino Médio completo ou incompleto,40.7,full_percentages
BR-04227/2026,BR042272026,AtlasIntel/Bloomberg,2026-03-25,2026-03-20,education,Ensino Superior completo ou incompleto,25.5,full_percentages
BR-04227/2026,BR042272026,AtlasIntel/Bloomberg,2026-03-25,2026-03-20,income,Renda familiar mensal até R$2000,22.4,full_percentages
BR-04227/2026,BR042272026,AtlasIntel/Bloomberg,2026-03-25,2026-03-20,income,Mais de R$2.000 a R$3.000,17.1,full_percentages
BR-04227/2026,BR042272026,AtlasIntel/Bloomberg,2026-03-25,2026-03-20,income,Mais de R$3.000 a R$5.000,23.1,full_percentages
BR-04227/2026,BR042272026,AtlasIntel/Bloomberg,2026-03-25,2026-03-20,income,Mais de R$5.000 a R$10.000,23.9,full_percentages
BR-04227/2026,BR042272026,AtlasIntel/Bloomberg,2026-03-25,2026-03-20,income,Mais de R$10.000,13.5,full_percentages
AESP (Assoc. Emissoras SP),BR028462026,Gerp/AESP,2026-03-27,2026-03-24,sex,"(declared, no % in registry)",,mentioned_no_pct
AESP (Assoc. Emissoras SP),BR028462026,Gerp/AESP,2026-03-27,2026-03-24,age,"(declared, no % in registry)",,mentioned_no_pct
AESP (Assoc. Emissoras SP),BR028462026,Gerp/AESP,2026-03-27,2026-03-24,income,"(declared, no % in registry)",,mentioned_no_pct
BR-00873/2026,BR008732026,Paraná Pesquisas,2026-03-30,2026-03-26,age,| Entre 25 e 34 anos,19,full_percentages
BR-00873/2026,BR008732026,Paraná Pesquisas,2026-03-30,2026-03-26,age,| Entre 35 e 44 anos,20,full_percentages
BR-00873/2026,BR008732026,Paraná Pesquisas,2026-03-30,2026-03-26,age,| Entre 45 e 59 anos,26,full_percentages
BR-00873/2026,BR008732026,Paraná Pesquisas,2026-03-30,2026-03-26,age,| Com 60 anos ou mais,23,full_percentages
